Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,Average Revenue,Average Gross Profit,% Variation from Average,%Total Gross Profit
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,1492.9,271.9,10.650577556443697,38.0,0.06631519384373823,1214.2495321019405,308.7999375010789,22.948369386290683,0.04749219846575863
ACAI BERRY JUICE,Berry company,Juices,308.0,78.0,9.232889978087577,26.0,0.013681478802244875,1214.2495321019405,308.7999375010789,-74.634538300638,0.013624095183262868
ACNE FACIAL SOAP,Healing Herbs,Cosmetics,110.0,22.0,3.355778300702772,21.0,0.00488624242937317,1214.2495321019405,308.7999375010789,-90.94090653594215,0.003842693513227988
ACQUA PANA WATER 1000ML,NGS,Beverages,10.0,10.0,0.0,24.0,0.0004442038572157427,1214.2495321019405,308.7999375010789,-99.17644604872201,0.0017466788696490856
ACQUA PANA WATER 500ML,NGS,Beverages,6.5,6.5,0.0,24.0,0.0002887325071902327,1214.2495321019405,308.7999375010789,-99.46468993166931,0.0011353412652719056
ACQUA PANA WATER 500ML GLASS,NGS,Beverages,9.0,9.0,0.0,24.0,0.00039978347149416843,1214.2495321019405,308.7999375010789,-99.25880144384982,0.001572010982684177
ACTIBIF CHEESE (FOR BETTER DIGESTION),0,cheese,340.0,80.0,22.284454499385188,8.0,0.01510293114533525,1214.2495321019405,308.7999375010789,-71.99916565654844,0.013973430957192685
AGAR AGAR FLAKES (HAND HARVESTED) - WILD,0,Food supplements,602.0,155.75,19.35128371696202,11.0,0.02674107220438771,1214.2495321019405,308.7999375010789,-50.422052133065186,0.02720452339478451
AGAVE SYRUP ( ORGANIC ) / 473ML,Suzanne's Specialties,Sweeteners,647.1,80.1,5.795636717106123,39.0,0.02874443160043071,1214.2495321019405,308.7999375010789,-46.70782381280146,0.013990897745889174
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ),NGS,Flour,300.0,60.0,10.582301703023521,16.0,0.01332611571647228,1214.2495321019405,308.7999375010789,-75.29338146166039,0.010480073217894513
