Product,Brand,Type,Date,Revenue,Gross Profit,CMGR,Average Revenue,Average Gross Profit,%Total Revenue,% Variation from Average,%Total Gross Profit
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2012-12-01,31.9,4.9,10.650577556443695,27.596580275056393,7.018180397764071,0.001417010304517588,15.594032601326766,0.0008558726461265549
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-01-01,127.6,19.6,10.650577556443695,27.596580275056393,7.018180397764071,0.005668041218070352,362.37613040530704,0.0034234905845062194
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-02-01,31.9,4.9,10.650577556443695,27.596580275056393,7.018180397764071,0.001417010304517588,15.594032601326766,0.0008558726461265549
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-03-01,255.2,39.2,10.650577556443695,27.596580275056393,7.018180397764071,0.011336082436140704,824.7522608106141,0.006846981169012439
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-04-01,382.8,58.8,10.650577556443695,27.596580275056393,7.018180397764071,0.017004123654211056,1287.1283912159213,0.010270471753518657
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-05-01,31.9,4.9,10.650577556443695,27.596580275056393,7.018180397764071,0.001417010304517588,15.594032601326766,0.0008558726461265549
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-06-01,95.7,14.7,10.650577556443695,27.596580275056393,7.018180397764071,0.004251030913552764,246.78209780398032,0.0025676179383796642
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-08-01,31.9,4.9,10.650577556443695,27.596580275056393,7.018180397764071,0.001417010304517588,15.594032601326766,0.0008558726461265549
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-09-01,302.4,72.0,10.650577556443695,27.596580275056393,7.018180397764071,0.013432724642198074,995.7879454119503,0.012576087861451417
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-10-01,134.4,32.0,10.650577556443695,27.596580275056393,7.018180397764071,0.005970099840976923,387.0168646275335,0.0055893723828672965
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,2013-11-01,67.2,16.0,10.650577556443695,27.596580275056393,7.018180397764071,0.0029850499204884615,143.50843231376675,0.0027946861914336482
ACAI BERRY JUICE,Berry company,Juices,2014-02-01,31.0,8.0,9.232889978087577,27.596580275056393,7.018180397764071,0.001377031957368189,12.332758954267394,0.0013973430957168241
ACAI BERRY JUICE,Berry company,Juices,2014-03-01,62.0,16.0,9.232889978087577,27.596580275056393,7.018180397764071,0.002754063914736378,124.66551790853478,0.0027946861914336482
ACAI BERRY JUICE,Berry company,Juices,2014-04-01,124.0,32.0,9.232889978087577,27.596580275056393,7.018180397764071,0.005508127829472756,349.33103581706956,0.0055893723828672965
ACAI BERRY JUICE,Berry company,Juices,2014-05-01,62.0,16.0,9.232889978087577,27.596580275056393,7.018180397764071,0.002754063914736378,124.66551790853478,0.0027946861914336482
ACAI BERRY JUICE,Berry company,Juices,2014-06-01,29.0,6.0,9.232889978087577,27.596580275056393,7.018180397764071,0.00128819118592508,5.085484183024336,0.001048007321787618
ACNE FACIAL SOAP,Healing Herbs,Cosmetics,2014-07-01,55.0,11.0,3.355778300702772,27.596580275056393,7.018180397764071,0.0024431212146854967,99.30005620918408,0.001921346756610633
ACNE FACIAL SOAP,Healing Herbs,Cosmetics,2014-09-01,55.0,11.0,3.355778300702772,27.596580275056393,7.018180397764071,0.0024431212146854967,99.30005620918408,0.001921346756610633
ACQUA PANA WATER 1000ML,NGS,Beverages,2014-04-01,10.0,10.0,0.0,27.596580275056393,7.018180397764071,0.00044420385721554486,-63.763626143784705,0.00174667886964603
ACQUA PANA WATER 500ML,NGS,Beverages,2014-04-01,6.5,6.5,0.0,27.596580275056393,7.018180397764071,0.00028873250719010414,-76.44635699346007,0.0011353412652699195
ACQUA PANA WATER 500ML GLASS,NGS,Beverages,2014-04-01,9.0,9.0,0.0,27.596580275056393,7.018180397764071,0.00039978347149399035,-67.38726352940624,0.001572010982681427
ACTIBIF CHEESE (FOR BETTER DIGESTION),0,cheese,2015-08-01,68.0,16.0,22.284454499385184,27.596580275056393,7.018180397764071,0.003020586229065705,146.40734222226396,0.0027946861914336482
ACTIBIF CHEESE (FOR BETTER DIGESTION),0,cheese,2015-09-01,204.0,48.0,22.284454499385184,27.596580275056393,7.018180397764071,0.009061758687197115,639.2220266667919,0.008384058574300943
ACTIBIF CHEESE (FOR BETTER DIGESTION),0,cheese,2015-10-01,68.0,16.0,22.284454499385184,27.596580275056393,7.018180397764071,0.003020586229065705,146.40734222226396,0.0027946861914336482
AGAR AGAR FLAKES (HAND HARVESTED) - WILD,0,Food supplements,2015-05-01,86.0,22.25,19.35128371696202,27.596580275056393,7.018180397764071,0.0038201531720536857,211.63281516345148,0.0038863604849624167
AGAR AGAR FLAKES (HAND HARVESTED) - WILD,0,Food supplements,2015-07-01,172.0,44.5,19.35128371696202,27.596580275056393,7.018180397764071,0.007640306344107371,523.265630326903,0.0077727209699248335
AGAR AGAR FLAKES (HAND HARVESTED) - WILD,0,Food supplements,2015-08-01,86.0,22.25,19.35128371696202,27.596580275056393,7.018180397764071,0.0038201531720536857,211.63281516345148,0.0038863604849624167
AGAR AGAR FLAKES (HAND HARVESTED) - WILD,0,Food supplements,2015-10-01,86.0,22.25,19.35128371696202,27.596580275056393,7.018180397764071,0.0038201531720536857,211.63281516345148,0.0038863604849624167
AGAR AGAR FLAKES (HAND HARVESTED) - WILD,0,Food supplements,2015-12-01,172.0,44.5,19.35128371696202,27.596580275056393,7.018180397764071,0.007640306344107371,523.265630326903,0.0077727209699248335
AGAVE SYRUP ( ORGANIC ) / 473ML,Suzanne's Specialties,Sweeteners,2013-01-01,71.9,8.9,5.795636717106122,27.596580275056393,7.018180397764071,0.003193825733379768,160.53952802618792,0.0015545441939849667
AGAVE SYRUP ( ORGANIC ) / 473ML,Suzanne's Specialties,Sweeteners,2013-02-01,71.9,8.9,5.795636717106122,27.596580275056393,7.018180397764071,0.003193825733379768,160.53952802618792,0.0015545441939849667
AGAVE SYRUP ( ORGANIC ) / 473ML,Suzanne's Specialties,Sweeteners,2013-03-01,143.8,17.8,5.795636717106122,27.596580275056393,7.018180397764071,0.006387651466759536,421.0790560523759,0.0031090883879699334
AGAVE SYRUP ( ORGANIC ) / 473ML,Suzanne's Specialties,Sweeteners,2013-04-01,215.7,26.7,5.795636717106122,27.596580275056393,7.018180397764071,0.009581477200139302,681.6185840785637,0.0046636325819549
AGAVE SYRUP ( ORGANIC ) / 473ML,Suzanne's Specialties,Sweeteners,2013-05-01,143.8,17.8,5.795636717106122,27.596580275056393,7.018180397764071,0.006387651466759536,421.0790560523759,0.0031090883879699334
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ),NGS,Flour,2014-12-01,60.0,12.0,10.58230170302352,27.596580275056393,7.018180397764071,0.002665223143293269,117.41824313729173,0.002096014643575236
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ),NGS,Flour,2015-01-01,240.0,48.0,10.58230170302352,27.596580275056393,7.018180397764071,0.010660892573173077,769.6729725491668,0.008384058574300943
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2012-12-01,46.5,6.0,12.20092836574278,27.596580275056393,7.018180397764071,0.0020655479360522835,68.4991384314011,0.001048007321787618
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-01-01,93.0,12.0,12.20092836574278,27.596580275056393,7.018180397764071,0.004131095872104567,236.9982768628022,0.002096014643575236
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-02-01,232.5,30.0,12.20092836574278,27.596580275056393,7.018180397764071,0.010327739680261417,742.4956921570055,0.00524003660893809
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-03-01,418.5,54.0,12.20092836574278,27.596580275056393,7.018180397764071,0.018589931424470553,1416.4922458826097,0.009432065896088563
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-04-01,93.0,12.0,12.20092836574278,27.596580275056393,7.018180397764071,0.004131095872104567,236.9982768628022,0.002096014643575236
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-05-01,325.5,42.0,12.20092836574278,27.596580275056393,7.018180397764071,0.014458835552365984,1079.4939690198075,0.007336051252513326
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-06-01,46.5,6.0,12.20092836574278,27.596580275056393,7.018180397764071,0.0020655479360522835,68.4991384314011,0.001048007321787618
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-09-01,556.98,97.98,12.20092836574278,27.596580275056393,7.018180397764071,0.024741266439191417,1918.2935510434793,0.0171139595647918
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-10-01,141.75,27.0,12.20092836574278,27.596580275056393,7.018180397764071,0.006296589676030348,413.65059941185166,0.004716032948044281
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-11-01,236.25,45.0,12.20092836574278,27.596580275056393,7.018180397764071,0.010494316126717248,756.0843323530862,0.007860054913407135
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-12-01,94.5,18.0,12.20092836574278,27.596580275056393,7.018180397764071,0.004197726450686899,242.43373294123447,0.003144021965362854
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2014-01-01,94.5,18.0,12.20092836574278,27.596580275056393,7.018180397764071,0.004197726450686899,242.43373294123447,0.003144021965362854
