Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,% Variation from Average,%Total Gross Profit
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,1492.9,271.9,11.614635123970984,35.0,0.13639317386572058,28.48236978150879,0.10582762408992907
ACAI BERRY JUICE,Berry company,Juices,308.0,78.0,10.498413972140552,23.0,0.028139257519352895,-73.49281941676958,0.030358788815794298
ACNE FACIAL SOAP,Healing Herbs,Cosmetics,110.0,22.0,3.9259226031843397,18.0,0.01004973482834032,-90.53314979170342,0.008562735307018903
ACQUA PANA WATER 1000ML,NGS,Beverages,10.0,10.0,0.0,21.0,0.0009136122571218472,-99.13937725379122,0.00389215241228132
ACQUA PANA WATER 500ML,NGS,Beverages,6.5,6.5,0.0,21.0,0.0005938479671292007,-99.4405952149643,0.002529899067982858
ACQUA PANA WATER 500ML GLASS,NGS,Beverages,9.0,9.0,0.0,21.0,0.0008222510314096625,-99.22543952841211,0.003502937171053188
AGAVE SYRUP ( ORGANIC ) / 473ML,Suzanne's Specialties,Sweeteners,647.1,80.1,6.293507041105428,36.0,0.059119849158354734,-44.30910209282984,0.03117614082237337
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ),NGS,Flour,300.0,60.0,13.179279115278653,13.0,0.027408367713655415,-74.1813176137366,0.02335291447368792
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,4648.48,904.18,13.253130796530233,37.0,0.42469083049857637,300.05876232965903,0.3519206368136524
ALMOND BUTTER (HOME-MADE),Signature,spreads,4380.0,584.0,25.334208923028445,19.0,0.4001621686193691,276.9527628394457,0.2273017008772291
ALMOND MILK ( ORGANIC ),Alpro,Non-dairy milk,211.5,44.52,2.5949246535184933,21.0,0.019322899238127068,-81.7978289176843,0.01732786253947644
ALMOND MILK ( ORGANIC ) / 946ML,Pacific Natural Foods,Non-dairy milk,9418.84,1695.44,13.205408235879656,37.0,0.8605167671869539,710.6067946901106,0.6598910885878241
ALMOND MILK ( ORIGINAL ),NGS,Non-dairy milk,1128.4,216.4,9.532809054495605,17.0,0.10309200709362926,-2.887329317801245,0.08422617820176777
ALMOND MILK WITH DARK CHOCOLATE,Pure almond,Non-dairy milk,57.0,11.44,0.0,21.0,0.0052075898655945295,-95.09445034660996,0.004452622359649831
ALMOND MILK WITH VANILLA,Pure almond,Non-dairy milk,114.0,24.16,6.824169081440212,21.0,0.010415179731189059,-90.1889006932199,0.00940344022807167
ALMONDS SHELL ON - ROASTED & SALTED / 250G,NGS,Dried Fruits & Nuts,301.8,64.3,6.6637876686626685,41.0,0.027572817919937348,-74.02640551941901,0.02502654001096889
ALPHABET PASTA ( GLUTEN FREE ) - ITALIAN,NGS,Pasta,262.5,52.5,2.9302236643492074,24.0,0.02398232174944849,-77.40865291201953,0.02043380016447693
AMERICAN GREEN APPLE / 500G,NGS,Fresh Produce,468.9,93.6,5.776756028317576,41.0,0.042839278736443415,-59.64539943027031,0.03643054657895316
AMERICAN GREEN APPLES,Kheir Misr,Fresh vegetables,2037.07,405.8,6.5582885795107515,36.0,0.18610921206152012,75.31487776195196,0.15794354489037596
AMERICAN RED APPLE / 500G,NGS,Fresh Produce,497.52,114.84,7.304121310686229,41.0,0.045454037016326145,-57.182297130620775,0.04469747830263868
AMERICAN RED APPLES,Kheir Misr,Fresh fruits,2657.25,457.21,10.412233498403056,36.0,0.24276961702370287,128.6889792363281,0.17795310044191423
AMERICAN YELLOW APPLES,Kheir Misr,Fresh fruits,952.97,201.31,7.205160095205154,36.0,0.08706450726694068,-17.98523415454188,0.07835292021163526
ANIMAL SHAPED BISCUITS ( GLUTEN FREE ),NGS,Cookies,310.3,56.2,11.829637933275826,15.0,0.02834938833849092,-73.29487618514156,0.02187389655702102
ANNAS ALMOND THINS,Biscuits,Snacks,50.25,10.05,5.120478661223138,22.0,0.004590901592037283,-95.67537070030089,0.003911613174342727
ANNAS CAPPUCCINO THINS,Biscuits,Snacks,67.0,13.4,3.059554475200943,23.0,0.006121202122716376,-94.23382760040118,0.005215484232456969
ANTISEPTIC CREAM WITH TEA TREE OIL / 118ML,"Tea Tree Therapy, Inc.",Cosmetics,203.4,30.6,3.098742495292073,36.0,0.01858287330985837,-82.49493334211341,0.011909986381580839
APPLE AND MANGO JUICE ( ORGANIC ),Voelkel,Juices,41.25,8.25,0.0,21.0,0.00376865056062762,-96.44993117188879,0.003211025740132089
APPLE CIDER VINEGAR ( ORGANIC ) / 473G,"Eden Foods, Inc.",Vinegar,6313.1,1827.54,15.78142154061528,37.0,0.5767725540435934,443.31974590906503,0.7113064219540604
APPLE CINNAMON BROWN RICE CAKES / 269G,Lundberg Family Farms,Snacks,1114.25,180.3,5.404758496607354,36.0,0.10179924574980183,-4.105110503686677,0.0701755079934322
APPLE CINNAMON NO FAT GRANOLA / 340G,Bob's Red Mill,Cereal,198.0,36.0,1.2058882052318642,24.0,0.018089522691012574,-82.95966962506616,0.014011748684212752
APPLES (SUKARY),Kheir Misr,Fresh fruits,3194.56,548.74,9.397608727925899,36.0,0.29185891721111684,174.93110001287207,0.21357797147152516
APPRICOT,NGS,Fresh fruits,219.25,47.26,13.076875000944987,18.0,0.0200309487373965,-81.1308462893725,0.01839431230044152
ARGAN OIL HAIR CONDITIONER,Healing Herbs,Cosmetics,300.0,60.0,4.940761418323669,19.0,0.027408367713655415,-74.1813176137366,0.02335291447368792
ARTICHOKE,NGS,Fresh vegetables,117.0,26.91,3.5274204405455922,34.0,0.010689263408325612,-89.93071386935728,0.010473782141449032
ARUGULA ( AQUAPONIC ),Bustan,Aquaponic vegetables,68.75,13.75,3.825932878050553,21.0,0.006281084267712699,-94.08321861981464,0.005351709566886815
ARUGULA ( CHEMICAL FREE ),NGS,Fresh vegetables,104.0,21.06,3.497564605355974,16.0,0.009501567474067212,-91.0495234394287,0.00819687298026446
ASHWAGANDHA ROOT,"Starwest Botanicals,Inc.",Herbs,329.0,45.5,5.554060733297872,36.0,0.030057843259308773,-71.68551164973114,0.017709293475880006
AUBERGENE (ROUMY),NGS,Fresh vegetables,28.0,4.0,8.995709151872378,20.0,0.0025581143199411723,-97.59025631061542,0.001556860964912528
AUBERGENE (ROUMY) - CHEMICAL FREE,NGS,Fresh vegetables,445.0,98.88,18.809636599935864,18.0,0.0406557454419222,-61.70228779370929,0.03848560305263769
AUBERGINE (ROUMY),Kheir Misr,Fresh vegetables,245.03795499999998,42.167955,11.840514287972702,37.0,0.02238696791480716,-78.91147622425166,0.016412410777422014
AUBERGINE AROUS BLACK,NGS,Fresh vegetables,21.0,3.2,1.696592574647271,20.0,0.0019185857399558791,-98.19269223296156,0.0012454887719300224
AUBERGINE AROUS WHITE,NGS,Fresh vegetables,13.25,3.25,3.828550969733291,20.0,0.0012105362406864477,-98.85967486127338,0.001264949533991429
AUSTRALIAN BEEF FILLET,NGS,Australian beef,250.0,110.0,0.0,36.0,0.02284030642804618,-78.4844313447805,0.04281367653509452
AUSTRALIAN BEEF RIB EYE,NGS,Australian beef,54.0,36.5,0.0,32.0,0.004933506188457975,-95.35263717047259,0.014206356304826818
AUSTRALIAN BEEF STEAK,NGS,Australian beef,132.0,76.0,1.2751399143162034,32.0,0.012059681794008383,-88.63977975004411,0.029580358333338032
AVOCADO,Kheir Misr,Fresh fruits,12049.565673000001,1954.455673,10.066687410371733,37.0,1.100863089184746,937.0130300120308,0.7607039362363861
AVOCADO,NGS,Fresh Produce,1362.24,227.04,3.5166813142081033,41.0,0.12445591611416651,17.23747297954486,0.08836742836843509
AVOCADOES ( IMPORTED ),NGS,Fresh fruits,9742.3,2284.5,19.88589414989006,20.0,0.8900684692558171,738.4444980389798,0.8891622185856676
