Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,% Variation from Average,%Total Gross Profit
7 GRAIN MILK / 946ML,Pacific Natural Foods,Milk,1492.9,271.9,11.975937427960858,34.0,0.13649231119928965,28.575757149730862,0.10615609878411807
ACAI BERRY JUICE,Berry company,Juices,308.0,78.0,11.000969949256678,22.0,0.02815971052942676,-73.47355268128,0.030453018408095663
ACNE FACIAL SOAP,Healing Herbs,Cosmetics,110.0,22.0,4.161601065058385,17.0,0.010057039474795271,-90.52626881474285,0.008589312884334673
ACQUA PANA WATER 1000ML,NGS,Beverages,10.0,10.0,0.0,20.0,0.0009142763158904792,-99.13875171043117,0.003904233129243034
ACQUA PANA WATER 500ML,NGS,Beverages,6.5,6.5,0.0,20.0,0.0005942796053288116,-99.44018861178026,0.002537751534007972
ACQUA PANA WATER 500ML GLASS,NGS,Beverages,9.0,9.0,0.0,20.0,0.0008228486843014313,-99.22487653938805,0.00351380981631873
AGAVE SYRUP ( ORGANIC ) / 473ML,Suzanne's Specialties,Sweeteners,647.1,80.1,6.479026454401549,35.0,0.059162820401272916,-44.26862318200091,0.0312729073652367
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ),NGS,Flour,300.0,60.0,14.352983608292025,12.0,0.027428289476714378,-74.16255131293505,0.0234253987754582
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,4648.48,904.18,13.645334560124954,36.0,0.42499951688905746,300.3495449094921,0.3530129510798966
ALMOND BUTTER (HOME-MADE),Signature,spreads,4380.0,584.0,26.91645607687292,18.0,0.4004530263600299,277.2267508311482,0.22800721474779317
ALMOND MILK ( ORGANIC ),Alpro,Non-dairy milk,211.5,44.52,2.7264241214250307,20.0,0.019336944081083635,-81.78459867561922,0.017381645891389987
ALMOND MILK ( ORGANIC ) / 946ML,Pacific Natural Foods,Non-dairy milk,9418.84,1695.44,13.596116803465573,36.0,0.8611422335161881,711.1959839722492,0.6619393016643809
ALMOND MILK ( ORIGINAL ),NGS,Non-dairy milk,1128.4,216.4,10.15792323415865,16.0,0.1031669394850817,-2.8167430050530475,0.08448760491681925
