,Sku1,Sku2,Count
0,organiccucumber122,organictomato122,137
1,organicyellowcarrot,organiccucumber122,126
2,organicyellowcarrot,potatoeschemicalfree,117
3,organicyellowcarrot,organictomato122,105
4,organictomato122,potatoeschemicalfree,91
5,organiccucumber122,potatoeschemicalfree,88
6,eggbaldy,organicyellowcarrot,85
7,eggbaldy,organictomato122,85
8,organicyellowcarrot,organiczucchinis,71
9,eggbaldy,potatoeschemicalfree,71
10,organiccucumber122,beetrootchemicalfree,68
11,eggbaldy,organiccucumber122,67
12,potatoeschemicalfree,organiczucchinis,64
13,organicyellowcarrot,beetrootchemicalfree,64
14,organictomato122,organiczucchinis,62
15,organiccucumber122,broccolichemicalfree,61
16,organicyellowcarrot,broccolichemicalfree,58
17,organiccucumber122,organiczucchinis,56
18,organicyellowcarrot,importedavocadoes,53
19,organicyellowcarrot,bananaschemicalfree,51
20,eggbaldy,broccolichemicalfree,51
21,organicyellowcarrot,babyspinachchemicalfree,51
22,eggbaldy,organiczucchinis,51
23,eggbaldy,baladywholechickenchemicalfree,51
24,organiccucumber122,arugulachemicalfree,51
25,eggbaldy,chickenbreasts,51
26,461030,461006,50
27,organicyellowcarrot,exportorganiccoloredbillpepper,50
28,organicyellowcarrot,chickenbreasts,48
29,organictomato122,beetrootchemicalfree,47
30,chickenbreasts,wholechicken,46
31,parselychemicalfree,redradishchemicalfree,46
32,parselychemicalfree,corianderchemicalfree,46
33,organicyellowcarrot,parselychemicalfree,45
34,importedavocadoes,beetrootchemicalfree,45
35,organicyellowcarrot,exportorganiconion,45
36,organiccucumber122,chickenbreasts,44
37,chickenbreasts,potatoeschemicalfree,44
38,organiccucumber122,parselychemicalfree,44
39,organiccucumber122,premiumbrownrice,44
40,broccolichemicalfree,exportorganiconion,44
41,babyspinach,beetrootchemicalfree,43
42,premiumbrownrice,quinoachmeicalfreegyptian,43
43,babyspinachchemicalfree,beetrootchemicalfree,43
44,organiccucumber122,babyspinachchemicalfree,42
45,organiccucumber122,exportorganiccoloredbillpepper,42
46,beetrootchemicalfree,sproutsma,41
47,potatoeschemicalfree,broccolichemicalfree,41
48,importedavocadoes,kalemak,41
49,organicyellowcarrot,redradishchemicalfree,40
50,eggbaldy,importedavocadoes,40
51,parselychemicalfree,dill-1,40
52,broccolichemicalfree,babyspinachchemicalfree,40
53,quinoachmeicalfreegyptian,premiumbrownsugar,39
54,organiccucumber122,importedavocadoes,39
55,importedavocadoes,almondsrawshelled,39
56,eggbaldy,bananaschemicalfree,39
57,50001,461006,39
58,importedavocadoes,premiumbrownrice,38
59,beetrootchemicalfree,coloredbellpepperchemicalfree,38
60,50001,461030,38
61,organiccucumber122,strawberry,38
62,organictomato122,parselychemicalfree,38
63,babyspinachchemicalfree,kalechemicalfree,37
64,babyspinach,parselychemicalfree,37
65,chickenbreasts,organictomato122,37
66,importedavocadoes,broccolichemicalfree,37
67,babyspinach,kalechemicalfree,37
68,babyspinachchemicalfree,parselychemicalfree,37
69,organictomato122,broccolichemicalfree,36
70,chickenbreasts,salmonsteak,36
71,organictomato122,arugulachemicalfree,36
72,parselychemicalfree,arugulachemicalfree,36
73,beetrootchemicalfree,arugulachemicalfree,36
74,premiumbrownrice,premiumbrownsugar,35
75,broccolichemicalfree,parselychemicalfree,35
76,organiccucumber122,exportorganiconion,35
