id,handle,sku,composite_handle,composite_sku,composite_quantity,name,description,type,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,tags,supply_price,retail_price,outlet_tax_Main_Outlet,account_code,account_code_purchase,brand_name,supplier_name,supplier_code,active,track_inventory,inventory_Main_Outlet,reorder_point_Main_Outlet,restock_level_Main_Outlet
31eb0866-e7cb-11e4-e556-f0d9d6b73f9f,0002,00002,,,,Transport,,,,,,,,,,0.00,0.00000,"Default tax",,,,"Sara Nour",,1,1,1.00000,0,0
31eb0866-e7cb-11e4-e556-e845c4da0203,10001,10001,,,,"Smoked salmon (frozen)","<p>200 g Frozen</p>","Sea Food",,,,,,,Frozen,52.90,79.00000,"Default tax",Sales,"Cost of goods sold",,ABO,,1,1,22.00000,5,10
31eb0866-e7cb-11e4-e556-e845d029553d,101001,101001,,,,"Coconut oil (organic) - for cooking","<p>500 ml</p>",Oil,,,,,,,"Super food;Weight loss;Oil",112.00,148.00000,"Default tax",Sales,"Cost of goods sold",,"Divine coconut",,1,1,86.00000,5,25
31eb0866-e7cb-11e4-e556-e845d042bc9d,101002,101002,,,,"Coconut oil large (organic) - for cooking","<p>Net weight 900 ml</p>",Oil,,,,,,,"Super food;Weight loss;Oil",170.00,236.00000,"Default tax",Sales,"Cost of goods sold",,"Divine coconut",,1,1,0.00000,5,16
31eb0866-e7cb-11e4-e556-e845d058c0a9,111001,111001,,,,"Apple and mango juice (organic)","<p>750 ml</p>",Beverages,,,,,,,Juice;Organic,33.00,46.00000,"Default tax",Sales,"Cost of goods sold",,"Egyption business systems",,1,1,0.00000,2,6
31eb0866-e7cb-11e4-e556-e845d0709616,111002,111002,,,,"Dark chocolate with green tea and mango (organic)","<p>100 gm</p>",Snacks,,,,,,,Organic;Chocolate,22.00,32.00000,"Default tax",Sales,"Cost of goods sold",,"Egyption business systems",,1,1,0.00000,2,6
31eb0866-e7cb-11e4-e556-e845d08778bf,111003,111003,,,,"Dragon fruit juice (organic)",<p>750ml</p>,Beverages,,,,,,,Juice;Organic,33.00,46.00000,"Default tax",Sales,"Cost of goods sold",,"Egyption business systems",,1,1,0.00000,2,6
31eb0866-e7cb-11e4-e556-e845d09d208f,111004,111004,,,,"Milk chocolate (organic)","<p>100 gm</p>",Snacks,,,,,,,Organic;Chocolate,22.00,32.00000,"Default tax",Sales,"Cost of goods sold",,"Egyption business systems",,1,1,0.00000,2,6
31eb0866-e7cb-11e4-e556-e845d0b305f0,111005,111005,,,,"Red grape juice (organic)","<p>750 ml</p>",Beverages,,,,,,,Juice;Organic,33.00,48.00000,"Default tax",Sales,"Cost of goods sold",,"Egyption business systems",,1,1,0.00000,2,6
31eb0866-e7cb-11e4-e556-e845d0c7e5ad,111006,111006,,,,"White grape juice (organic)","<p>?750 ml</p>",Beverages,,,,,,,Juice;Organic,33.00,48.00000,"Default tax",Sales,"Cost of goods sold",,"Egyption business systems",,1,1,0.00000,2,6
31eb0866-e7cb-11e4-e556-e8474674f365,111007,111007,,,,"Dark chocolate with cranberry ( organic ) - 70% cacao","100 g",Chocolate,,,,,,,Organic;Chocolate,0.00,28.00000,"Default tax",Sales,"Cost of goods sold",,"Egyption business systems",,1,1,0.00000,2,6
31eb0866-e7cb-11e4-e556-e847465d9dca,111008,111008,,,,"Dark chocolate with mint ( organic )","100 g",Chocolate,,,,,,,Organic;Chocolate,0.00,28.00000,"Default tax",Sales,"Cost of goods sold",,"Egyption business systems",,1,1,0.00000,2,6
31eb0866-e7cb-11e4-e556-e845d0dc3ad2,121001,121001,,,,"Cow milk (chemical free) - frozen","<p>1 L</p>",Milk,,,,,,,"Frozen;Chemical free;Milk",0.00,18.00000,"Default tax",Sales,"Cost of goods sold",,"Ekram mamena",,1,1,0.00000,15,40
31eb0866-e7cb-11e4-e556-e845d0f4264b,131001,131001,,,,"Whole meal flour","<p>1 Kg</p>","Baking products",,,,,,,"Whole grain;Flour",4.60,6.00000,"Default tax",Sales,"Cost of goods sold",,"El Abrag",,1,1,15.00000,6,24
31eb0866-e7cb-11e4-e556-e845d10dbd0b,141001,141001,,,,"Asparagus (chemical free)","<p>250 g</p>",Vegetables,,,,,,,"Fresh;Chemical free",13.75,20.00000,"Default tax",Sales,"Cost of goods sold",,"El Hoda",,1,1,0.00000,2,8
31eb0866-e7cb-11e4-e556-e845d1245b15,141002,141002,,,,"Baby corn (chemical free)","<p>weight per pack : 250g</p>",Vegetables,,,,,,,"Fresh;Chemical free",13.75,18.00000,"Default tax",Sales,"Cost of goods sold",,"El Hoda",,1,1,0.00000,2,4
31eb0866-e7cb-11e4-e556-e845d139ffcb,141003,141003,,,,"Colored bell pepper (Chemical free)","<p>Price per 500gm</p>",Vegetables,,,,,,,"Fresh;Chemical free",13.85,18.00000,"Default tax",Sales,"Cost of goods sold",,"El Hoda",,1,1,0.00000,2,4
31eb0866-e7cb-11e4-e556-e8474bc4eb47,141004,141004,,,,"Green beans ( chemical free )","<p>Price per Kg</p>",Vegetables,,,,,,,"Fresh;Chemical free",0.00,25.00000,"Default tax",Sales,"Cost of goods sold",,"El Hoda",,1,1,0.00000,2,4
31eb0866-e7cb-11e4-e556-e845d14fce6b,141005,141005,,,,"Green beans (Chemical free)","<p>Price per 500gm</p>",Vegetables,,,,,,,"Fresh;Chemical free",12.50,16.00000,"Default tax",Sales,"Cost of goods sold",,"El Hoda",,1,1,0.00000,2,4
31eb0866-e7cb-11e4-e556-e845d165c5f7,141006,141006,,,,"Lime (Chemical free)","<p>Price per 1kg</p>",Vegetables,,,,,,,"Fresh;Chemical free",9.10,12.00000,"Default tax",Sales,"Cost of goods sold",,"El Hoda",,1,1,0.00000,2,2
