Product,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Itemcount,Revenue
CHICKEN BREAST,0.0,0.0,0.0,30.0,15.0,41.0,46.0,33.0,12.0,26.0,39.0,55.0,32.0,47.0,45.0,20.0,33.0,45.0,35.0,38.0,28.0,33.0,32.0,36.0,45.0,36.0,69.0,51.0,75.0,85.0,97.0,104.0,95.0,25.0,0.0,0.0,7.0,196.0,68.0,28.0,1702.0,88794.53857421875
QUINOA ( WHITE ) - ORGANIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,26.0,22.0,18.0,16.0,0.0,0.0,0.0,63.0,38.0,78.0,14.0,12.0,1.0,37.0,36.0,57.0,15.0,33.0,31.0,126.0,72.0,70.0,58.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,852.0,62300.9609375
WHOLE CHICKEN,0.0,0.0,0.0,45.15999984741211,25.0,20.0,12.0,44.0,7.0,45.0,72.0,35.0,52.0,79.0,35.0,48.0,19.0,93.0,35.0,57.0,83.0,64.0,61.0,40.0,48.0,42.0,65.0,35.0,50.0,56.0,60.0,52.0,45.0,10.0,0.0,0.0,0.0,146.0,76.0,23.0,1679.1600036621094,55296.36376953125
COCONUT OIL (ORGANIC) - FOR COOKING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,17.0,22.0,24.0,2.0,0.0,0.0,10.0,70.0,18.0,12.0,198.0,36796.9052734375
BEEF FILLET,0.0,0.0,0.0,44.79999923706055,4.0,8.0,2.0,7.0,4.0,12.0,9.0,11.0,3.0,6.0,9.0,3.0,1.0,16.510000228881836,7.0,6.0,3.0,3.0,2.0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.31000518798828,35693.8251953125
BEEF FILLET (WHOLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.90499877929688,14.199999809265135,0.0,149.10499572753906,23672.17578125
DRIED CRANBERRIES,0.0,0.0,0.0,2.0,2.0,0.0,7.0,6.0,1.0,6.0,8.0,4.0,5.0,4.0,10.0,4.0,1.0,7.25,19.0,7.0,6.0,4.0,5.0,7.0,15.0,4.0,6.0,3.0,6.0,16.0,30.0,9.0,19.0,0.0,0.0,0.0,1.0,28.0,16.0,3.0,271.25,21851.34716796875
INSIDE CAIRO DELIVERY FEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,30.0,99.0,114.0,124.0,111.0,125.0,127.0,65.0,41.0,114.0,82.0,80.0,71.0,73.0,64.0,72.0,90.0,136.0,157.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1894.0,18937.76171875
VEAL ESCALOPE (BIFTEK),0.0,0.0,0.0,14.0,0.0,5.0,5.0,10.0,6.0,4.0,9.0,8.0,6.0,7.0,12.0,5.0,5.0,19.0,8.0,3.0,8.0,12.0,4.0,4.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,17610.89990234375
CAIRO ABOVE 150 L.E ORDERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,132.0,160.0,160.0,186.0,161.0,41.0,0.0,0.0,16.0,447.0,206.0,81.0,1644.0,16668.244140625
BEEF FILLET (CHEMICAL FREE) - FROZEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,16.0,19.0,18.0,11.0,36.0,1.0,5.0,0.0,0.0,2.0,26.0,17.0,26.0,204.0,15945.36181640625
BEEF MINCE,0.0,0.0,0.0,10.0,8.0,5.0,4.0,10.0,3.0,16.0,11.0,15.0,11.0,15.0,16.0,7.0,1.0,16.0,5.0,6.0,9.0,7.0,9.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,14995.120361328125
