Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Item Count,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Quinoa ( white ) - organic,106900,,"Eden Foods, Inc.",HV,Grains,,0,0,0,0,0,0,0,0,3,17,26,22,18,16,0,0,0,63,38,78,14,12,1,37,36,57,15,33,31,126,72,70,58,9,0,0,0,0,0,0,852,62300.96,51333.74,10967.22,0.176036,0
Chicken Breasts,ChickenBreasts,,NGS,Butcher,Fresh poultry,,0,0,0,0,0,0,0,0,9,26,39,55,32,47,45,20,33,40,35,38,28,33,32,36,45,36,69,51,75,85,78,85,63,25,0,0,0,0,0,0,1160,59336.96,45182,14154.96,0.238552,0
Whole Chicken,WholeChicken,,NGS,Butcher,Fresh poultry,,0,0,0,0,0,0,0,0,5,45,72,35,52,79,35,48,19,93,35,57,83,64,61,40,48,42,65,35,50,56,60,52,45,10,0,0,0,0,0,0,1286,40680.5,31340.3,9340.2,0.229599,0
Beef Fillet,BeefFillet,,NGS,Butcher,Fresh beef,,0,0,0,0,0,0,0,0,4,12,9,11,3,6,9,3,1,16.51,7,6,3,3,2,2,2,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,115.51,25178.21782,17442.5,7735.71782,0.307238,0
Beef fillet (whole),151017,,,El rancho,Beef,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.905,14.2,0,149.105,23672.1758,20129.175,3543.0008,0.149669,0
Coconut oil (organic) - for cooking,Coconutoilorganic-forcooking,,Divine coconut,Divine coconut,Oil,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,17,22,24,2,0,0,0,0,0,0,88,20635,15696.25,4938.75,0.239339,0
Inside Cairo delivery fee,InsideCairodeliveryfee,,Freight,Freight,Delivery,,0,0,0,0,0,0,0,0,28,99,114,124,111,125,127,65,41,114,82,80,71,73,64,72,90,136,157,48,0,0,0,0,0,0,0,0,0,0,0,0,1821,18207.76141,2200,16007.76141,0.879172,0
Dried cranberry,DriedCranberry,,NGS,Auf,Dried fruits,,0,0,0,0,0,0,0,0,1,4,6,2,4,4,10,4,1,7.25,19,7,6,4,5,7,15,4,6,3,6,16,30,9,19,0,0,0,0,0,0,0,199.25,17477.037,7520.0075,9957.0295,0.569721,0
Chicken breast,80001,,,Butcher,Poultry,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,196,67,28,292,16683.42735,13272.45,3410.97735,0.204453,0
Coconut oil (organic) - for cooking,101001,,,Divine coconut,Oil,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,67,18,12,101,14829.90516,11312,3517.905155,0.237217,0
