name,description, S.Price ,In stock, Offah.com Price ,Offah.com In Stock, Gourmetegypt.com Price ,Gourmetegypt In Stock, Healthharveststore.com Price ,Healthharveststore.com In Stock,Imtenan.com Price,Imtenan.com In Stock,Knockmart.com Prices,Knockmart.com In Stock,Beqala.com Prices,Beqala.com In Stock,Average Competitor Prices
QUINOAWHITEORGANIC454G,454g,95.0,Yes,0,0,88.98,No,105,Yes,0.0,0,0,0,0.0,0,96.99000000000001
COCONUTOILORGANICFORCOOKING,500 ml,148.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
DRIEDCRANBERRY200G,200g,53.0,No,0,0,68,No,0,0,0.0,0,0,0,0.0,0,68.0
CHICKENBREAST,1kg,67.0,Yes,49,Yes,81.66,Yes,0,0,0.0,0,0,0,53.9,Yes,61.52
HUROMSLOWJUICER,0,3400.0,No,0,0,3400.00,No,0,0,0.0,0,0,0,0.0,0,3400.0
BEEFCUBESCHEMICALFREEFROZEN,"500 g
<p>Free range 100% grass fed</p>",62.0,Yes,44,Yes,0,0,0,0,0.0,0,0,0,0.0,0,44.0
BEEFMINCECHEMICALFREEFROZEN,500 g Free range 100% grass feed,55.0,Yes,40,Yes,0,0,0,0,0.0,0,0,0,0.0,0,40.0
BENCHPRESSOATSWITHAPPLEANDCINNAMONWITHWHEYPROTEIN,0,24.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
UNSWEETENEDALMONDMILK,946 ml,35.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
CHIASEEDSORGANIC,0,98.0,Yes,0,0,0,0,105,Yes,0.0,0,0,0,0.0,0,105.0
BEEFMINCENOFATCHEMICALFREEFROZEN,"500 g zero fat, free range 100% grass feed",62.0,Yes,44,Yes,0,0,0,0,0.0,0,0,0,0.0,0,44.0
MUESLIWITHQUINOAAMARANTHAPPLESEEDSANDNUTSGLUTENFREE,0,68.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
RAWPECAN250G,250g,74.0,Yes,0,0,75,Yes,0,0,0.0,0,0,0,0.0,0,75.0
MUESLIWITHMIXEDBERRIESOATFLAKESANDSEEDSORGANIC,0,68.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
BEEFESCALOPECHEMICALFREEFROZEN,"500 g
<p>Free range 100% grass fed</p>",62.0,No,48,Yes,0,0,0,0,0.0,0,0,0,0.0,0,48.0
WHOLECHICKEN,1 kg,45.0,Yes,0,0,39,Yes,0,0,0.0,0,0,0,30.75,Yes,34.875
GRANOLAWITHFRUITSANDSEEDSGLUTENFREE,0,52.0,No,0,0,0,0,0,0,15.0,Yes,0,0,0.0,0,15.0
SALMONSTEAK,220-240 g Frozen,62.0,Yes,0,0,50.11,Yes,0,0,0.0,0,0,0,0.0,0,50.11
SKINNYOATSWITHBERRIESANDGREENTEAEXTRACTFORWEIGHTLOSS,0,24.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
ALMONDMILKORGANIC946ML,946ml,34.0,No,0,0,0,0,35,Yes,0.0,0,0,0,0.0,0,35.0
BROWNRICEPENNEAMERICANGLUTENFREEORGANIC340G,284g,45.0,Yes,0,0,0,0,45,Yes,0.0,0,0,0,0.0,0,45.0
BALADYWHOLECHICKENCHEMICALFREE,750-1000 kg frozen,50.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
GOJIBERRIES,150g,64.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
TOPSIDESTEAKCHEMICALFREEFROZEN,500g,62.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
MUESLIWITHBRANBERRYANDSTRAWBERRIESORGANIC,0,42.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
OATMILKORGANIC946ML,946ml,36.75,No,0,0,0,0,0,No,0.0,0,0,0,0.0,0,0.0
CHIASEEDS,500 g,105.0,No,0,0,198,Yes,0,0,0.0,0,0,0,0.0,0,198.0
BEEFSTRIPSCHEMICALFREEFROZEN,"500 g
<p>Free range 100% grass fed</p>",62.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
BROWNRICESPAGHETTIAMERICANGLUTENFREEORGANIC284G,284g,45.0,No,0,0,0,0,45,Yes,0.0,0,0,0,0.0,0,45.0
MAPLESYRUPORGANIC,236ml,96.0,Yes,0,0,108.56,Yes,0,0,0.0,0,0,0,0.0,0,108.56
HAMBURGERCHEMICALFREEFROZEN,500 g Free range 100 % grass fed,52.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
BASMATIBROWNRICEORGANIC907G,907g,48.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
COCONUTOILSMALLGLASSJAR,453ml,100.0,Yes,0,0,0,0,105,Yes,0.0,0,0,0,0.0,0,105.0
WHOLECHICKENCHEMICALFREE,1100-1200g,50.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
YELLOWCARROTCHEMICALFREE,500g,15.0,No,7.5,Yes,11,No,0,0,0.0,0,0,0,0.0,0,9.25
