name,description, S.Price ,In stock, Offah.com Price ,Offah.com In Stock, Gourmetegypt.com Price ,Gourmetegypt In Stock, Healthharveststore.com Price ,Healthharveststore.com In Stock,Imtenan.com Price,Imtenan.com In Stock,Knockmart.com Prices,Knockmart.com In Stock,Beqala.com Prices,Beqala.com In Stock,Average Competitor Prices,Availability @ Others
QUINOAWHITEORGANIC454G,454g,95.0,1,0,0,88.98,0,105,1,0.0,0,0,0,0.0,0,96.99000000000001,1.0
COCONUTOILORGANICFORCOOKING,500 ml,148.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
DRIEDCRANBERRY200G,200g,53.0,0,0,0,68,0,0,0,0.0,0,0,0,0.0,0,68.0,0.0
CHICKENBREAST,1kg,67.0,1,49,1,81.66,1,0,0,0.0,0,0,0,53.9,1,61.52,1.0
HUROMSLOWJUICER,0,3400.0,0,0,0,3400.00,0,0,0,0.0,0,0,0,0.0,0,3400.0,0.0
BEEFCUBESCHEMICALFREEFROZEN,"500 g
<p>Free range 100% grass fed</p>",62.0,1,44,1,0,0,0,0,0.0,0,0,0,0.0,0,44.0,1.0
BEEFMINCECHEMICALFREEFROZEN,500 g Free range 100% grass feed,55.0,1,40,1,0,0,0,0,0.0,0,0,0,0.0,0,40.0,1.0
BENCHPRESSOATSWITHAPPLEANDCINNAMONWITHWHEYPROTEIN,0,24.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
UNSWEETENEDALMONDMILK,946 ml,35.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
CHIASEEDSORGANIC,0,98.0,1,0,0,0,0,105,1,0.0,0,0,0,0.0,0,105.0,1.0
BEEFMINCENOFATCHEMICALFREEFROZEN,"500 g zero fat, free range 100% grass feed",62.0,1,44,1,0,0,0,0,0.0,0,0,0,0.0,0,44.0,1.0
MUESLIWITHQUINOAAMARANTHAPPLESEEDSANDNUTSGLUTENFREE,0,68.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
RAWPECAN250G,250g,74.0,1,0,0,75,1,0,0,0.0,0,0,0,0.0,0,75.0,1.0
MUESLIWITHMIXEDBERRIESOATFLAKESANDSEEDSORGANIC,0,68.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
BEEFESCALOPECHEMICALFREEFROZEN,"500 g
<p>Free range 100% grass fed</p>",62.0,0,48,1,0,0,0,0,0.0,0,0,0,0.0,0,48.0,1.0
WHOLECHICKEN,1 kg,45.0,1,0,0,39,1,0,0,0.0,0,0,0,30.75,1,34.875,1.0
GRANOLAWITHFRUITSANDSEEDSGLUTENFREE,0,52.0,0,0,0,0,0,0,0,15.0,1,0,0,0.0,0,15.0,1.0
SALMONSTEAK,220-240 g Frozen,62.0,1,0,0,50.11,1,0,0,0.0,0,0,0,0.0,0,50.11,1.0
SKINNYOATSWITHBERRIESANDGREENTEAEXTRACTFORWEIGHTLOSS,0,24.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
ALMONDMILKORGANIC946ML,946ml,34.0,0,0,0,0,0,35,1,0.0,0,0,0,0.0,0,35.0,1.0
BROWNRICEPENNEAMERICANGLUTENFREEORGANIC340G,284g,45.0,1,0,0,0,0,45,1,0.0,0,0,0,0.0,0,45.0,1.0
BALADYWHOLECHICKENCHEMICALFREE,750-1000 kg frozen,50.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
GOJIBERRIES,150g,64.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
TOPSIDESTEAKCHEMICALFREEFROZEN,500g,62.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
MUESLIWITHBRANBERRYANDSTRAWBERRIESORGANIC,0,42.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
OATMILKORGANIC946ML,946ml,36.75,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
CHIASEEDS,500 g,105.0,0,0,0,198,1,0,0,0.0,0,0,0,0.0,0,198.0,1.0
BEEFSTRIPSCHEMICALFREEFROZEN,"500 g
<p>Free range 100% grass fed</p>",62.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
BROWNRICESPAGHETTIAMERICANGLUTENFREEORGANIC284G,284g,45.0,0,0,0,0,0,45,1,0.0,0,0,0,0.0,0,45.0,1.0
MAPLESYRUPORGANIC,236ml,96.0,1,0,0,108.56,1,0,0,0.0,0,0,0,0.0,0,108.56,1.0
HAMBURGERCHEMICALFREEFROZEN,500 g Free range 100 % grass fed,52.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
BASMATIBROWNRICEORGANIC907G,907g,48.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
COCONUTOILSMALLGLASSJAR,453ml,100.0,1,0,0,0,0,105,1,0.0,0,0,0,0.0,0,105.0,1.0
WHOLECHICKENCHEMICALFREE,1100-1200g,50.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
YELLOWCARROTCHEMICALFREE,500g,15.0,0,7.5,1,11,0,0,0,0.0,0,0,0,0.0,0,9.25,1.0
MUSHROOM,0,22.0,1,15,1,12.5,1,0,0,0.0,0,0,0,14.5,1,14.0,1.0
STEVIA,35g,60.0,1,0,0,0,0,60,1,0.0,0,0,0,0.0,0,60.0,1.0
TOMATOCHEMICALFREE,500g,9.0,1,9.75,1,0,0,0,0,0.0,0,0,0,0.0,0,9.75,1.0
WILDRICEORGANIC227G,227g,85.0,1,0,0,0,0,85,1,0.0,0,0,0,0.0,0,85.0,1.0
BROWNRICEROTINIAMERICANGLUTENFREEORGANIC284G,284g,49.0,1,0,0,0,0,45,1,0.0,0,0,0,0.0,0,45.0,1.0
OATSWITHSPIRULINAANDBARLEYGRASSORGANIC?SUPERFOOD,0,34.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
CUCUMBERCHEMICALFREE,500g,7.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
OATSWITHMACAANDCOCOAORGANIC?SUPERFOOD,0,34.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
SWEETPINEAPPLES,Per piece,46.0,0,0,0,29.9,0,0,0,0.0,0,0,0,0.0,0,29.9,0.0
UNSWEETENEDSOYMILKORGANIC946ML,946 ml,30.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
RAWPISTACHIO250G,250g,63.0,1,0,0,0,0,0,0,0.0,0,0,0,39.35,1,39.35,1.0
SPANISHEXTRAVIRGINOLIVEOILORGANIC473G,473ml,85.0,1,0,0,0,0,80,1,0.0,0,0,0,0.0,0,80.0,1.0
CHICKENBREASTSCHEMICALFREE,1 kg,66.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
BERRYMIXFROZEN,300g,59.0,1,0,0,33,1,0,0,0.0,0,0,0,0.0,0,33.0,1.0
SEASALTPOTUGESEFINEGRIND453G,453g,30.0,1,0,0,0,0,30,1,0.0,0,0,0,0.0,0,30.0,1.0
CAMELMILKFROZEN,"450ml
<p>100% natural milk?</p>

<p>Camels are Local grain and grass fed</p>

<p>frozen</p>",14.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
BALADYEGGSORGANIC,10 piece,24.0,1,0,0,0,0,0,0,0.0,0,0,0,16.0,1,16.0,1.0
MIXEDNUTSTRAILMIX,250g,58.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
KIWI,per piece,4.0,1,2.75,1,3,1,0,0,0.0,0,0,0,0.0,0,2.875,1.0
CHICKENCUTLETSSHISHTAWOOK,"
<tbody>

<tr>

<td style=""padding-top: 0cm; padding-right: 9.0pt; padding-bottom: 0cm; padding-left: 9.0pt;"">

<p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; text-align: justify;""><span style=""font-family: 'Arial','sans-serif'; mso-ascii-theme-font: minor-bidi; mso-fareast-font-family: 'Times New Roman'; mso-hansi-theme-font: minor-bidi; mso-bidi-font-family: Arial; mso-bidi-theme-font: minor-bidi;"">Kheir Misr Poultry (Price per Kg before preparation)</span></p>

<p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; text-align: justify;"">?</p>

<p style=""margin: 0cm 0cm 0.0001pt; text-align: justify; vertical-align: baseline; background-position: initial initial; background-repeat: initial initial;""><span style=""font-size: 11.0pt; font-family: 'Arial','sans-serif'; mso-ascii-theme-font: minor-bidi; mso-hansi-theme-font: minor-bidi; mso-bidi-theme-font: minor-bidi;"">We are proud to provide you with the highest quality, most juicy and tender local Egyptian poultry. We follow very high hygiene and animal welfare standards, our chicken are free range grain fed</span></p>

<p style=""margin: 0cm 0cm 0.0001pt; text-align: justify; vertical-align: baseline; background-position: initial initial; background-repeat: initial initial;""><span style=""font-size: 11.0pt; font-family: 'Arial','sans-serif'; mso-ascii-theme-font: minor-bidi; mso-hansi-theme-font: minor-bidi; mso-bidi-theme-font: minor-bidi;"">.</span></p>

<p style=""margin: 0cm 0cm 0.0001pt; text-align: justify; vertical-align: baseline; background-position: initial initial; background-repeat: initial initial;""><span style=""font-size: 11.0pt; font-family: 'Arial','sans-serif'; mso-ascii-theme-font: minor-bidi; mso-hansi-theme-font: minor-bidi; mso-bidi-theme-font: minor-bidi;"">The slaughter process is done according the Islamic shariaa and international hygiene standards are applied starting from the slaughter process, up to the delivery to your door step.?</span></p>

<p style=""margin: 0cm 0cm 0.0001pt; text-align: justify; vertical-align: baseline; background-position: initial initial; background-repeat: initial initial;""><span style=""font-size: 11.0pt; font-family: 'Arial','sans-serif'; mso-ascii-theme-font: minor-bidi; mso-hansi-theme-font: minor-bidi; mso-bidi-theme-font: minor-bidi;"">?</span></p>

<p style=""margin: 0cm 0cm 0.0001pt; text-align: justify; vertical-align: baseline; background-position: initial initial; background-repeat: initial initial;""><span style=""font-size: 11.0pt; font-family: 'Arial','sans-serif'; mso-ascii-theme-font: minor-bidi; mso-hansi-theme-font: minor-bidi; mso-bidi-theme-font: minor-bidi;"">The meat is refrigerated at all times, our chefs clean and prepare the meat for you to cook straight away minimizing your effort, time, and cost.</span></p>

<p style=""margin: 0cm 0cm 0.0001pt; text-align: justify; vertical-align: baseline; background-position: initial initial; background-repeat: initial initial;""><span style=""font-size: 11.0pt; font-family: 'Arial','sans-serif'; mso-ascii-theme-font: minor-bidi; mso-hansi-theme-font: minor-bidi; mso-bidi-theme-font: minor-bidi;"">?</span></p>

<p style=""margin: 0cm 0cm 0.0001pt; text-align: justify; vertical-align: baseline; background-position: initial initial; background-repeat: initial initial;""><span style=""font-size: 11.0pt; font-family: 'Arial','sans-serif'; mso-ascii-theme-font: minor-bidi; mso-hansi-theme-font: minor-bidi; mso-bidi-theme-font: minor-bidi;"">At NGS we care about you and your loved ones, we make sure you consistently get high quality meat free from any unnatural or dangerous chemicals.?</span></p>

</td>

</tr>

</tbody>

</table>",67.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
AVOCADOSIMPORTED,500gm,32.0,1,21.75,1,11.25,1,0,0,0.0,0,0,0,0.0,0,16.5,1.0
FLAXOIL,236ml,69.0,1,0,0,46.25,1,70,1,0.0,0,0,0,0.0,0,58.125,1.0
VEALESCALOPECHEMICALFREEFROZENFROZEN,500g,92.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
COCONUTFLOUR,453g,85.0,1,0,0,0,0,85,1,0.0,0,0,0,0.0,0,85.0,1.0
MELON,1kg,14.0,1,12.33,1,0,0,0,0,0.0,0,0,0,0.0,0,12.33,1.0
HOMEMADEBREADMIXGLUTENFREE453G,453g,56.0,1,0,0,0,0,60,1,0.0,0,0,0,0.0,0,60.0,1.0
MIXEDNUTS,250g,59.0,1,0,0,56.25,0,0,0,0.0,0,0,0,0.0,0,56.25,0.0
BANANASIMPORTED,1Kg,22.0,0,16.5,1,19,1,0,0,0.0,0,0,0,0.0,0,17.75,1.0
SMOKEDSALMONFROZEN,200g Frozen,68.0,1,0,0,82,1,0,0,0.0,0,0,0,0.0,0,82.0,1.0
DRIEDAPRICOTS250G,250g,22.0,1,0,0,24.16,1,0,0,0.0,0,0,0,15.26,1,19.71,1.0
MEDJOULDATES,330g,36.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
MANUKAHONEY,250g,200.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
APPLECIDERVINEGARORGANIC,473g,35.0,1,0,0,0,0,35,1,0.0,0,0,0,0.0,0,35.0,1.0
RASPBERRIESFROZEN,300g,68.75,1,0,0,34.5,1,0,0,0.0,0,0,0,73.0,1,53.75,1.0
REDAPPLESAMERICAN,1 kg,28.0,1,28,1,22,1,0,0,0.0,0,0,0,0.0,0,25.0,1.0
GREENAPPLESFRENCHIMPORTED,1kg,31.0,1,26,1,26,1,0,0,0.0,0,0,0,0.0,0,26.0,1.0
ORANGES,1 Kg,8.0,0,6.75,1,6.5,1,0,0,0.0,0,0,0,0.0,0,6.625,1.0
SPIRULINAPOWDERORGANIC,113g,124.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
BABYSPINACHCHEMICALFREE,250g,8.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
POTATOESCHEMICALFREE,500g,5.0,1,4.65,1,6,1,0,0,0.0,0,0,0,0.0,0,5.325,1.0
BALADYRAWHONEY,500g Jar-Balady product from Egyptian-Italian bee variety (Apis mellifera),35.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
