Product,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Revenue
CHICKENBREASTS1KG,15.0,41.0,46.0,33.0,9.0,26.0,39.0,55.0,32.0,47.0,45.0,20.0,33.0,40.0,35.0,38.0,28.0,33.0,32.0,36.0,45.0,36.0,69.0,51.0,75.0,85.0,78.0,85.0,63.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,65663.36
QUINOAWHITEORGANIC454G,0.0,0.0,0.0,0.0,3.0,17.0,26.0,22.0,18.0,16.0,0.0,0.0,0.0,63.0,38.0,78.0,14.0,12.0,1.0,37.0,36.0,57.0,15.0,33.0,31.0,126.0,72.0,70.0,58.0,9.0,0.0,0.0,0.0,4.0,9.0,7.0,64389.46
WHOLECHICKEN1KG,25.0,20.0,12.0,44.0,5.0,45.0,72.0,35.0,52.0,79.0,35.0,48.0,19.0,93.0,35.0,57.0,83.0,64.0,61.0,40.0,48.0,42.0,65.0,35.0,50.0,56.0,60.0,52.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,43869.32
COCONUTOILORGANICFORCOOKING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,17.0,22.0,24.0,2.0,0.0,0.0,6.0,3.0,18.0,15.0,37240.905155
DRIEDCRANBERRY200G,0.0,0.0,0.0,0.0,1.0,4.0,6.0,2.0,4.0,4.0,10.0,4.0,1.0,7.25,19.0,7.0,6.0,4.0,5.0,7.0,15.0,4.0,6.0,3.0,6.0,16.0,30.0,9.0,19.0,0.0,0.0,0.0,1.0,22.0,12.0,2.0,19416.837
CHICKENBREAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,196.0,67.0,28.0,16933.17735
VEALESCALOPEBIFTEK1KG,0.0,5.0,5.0,10.0,6.0,4.0,9.0,8.0,6.0,7.0,12.0,5.0,5.0,19.0,8.0,3.0,8.0,12.0,4.0,4.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16182.9
HUROMSLOWJUICER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,14800.0
BEEFMINCE1KG,8.0,5.0,4.0,10.0,3.0,16.0,11.0,15.0,11.0,15.0,16.0,7.0,1.0,11.0,5.0,6.0,9.0,7.0,9.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13906.12
BEEFCUBESCHEMICALFREEFROZEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,15.0,10.0,21.0,43.0,23.0,6.0,0.0,0.0,3.0,43.0,47.0,7.0,13815.175097
AVOCADO,8.0,5.0,8.0,11.0,9.0,23.0,21.0,30.0,17.0,36.0,32.0,8.0,12.0,23.0,13.0,19.0,8.0,9.0,7.0,9.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13411.805673
BEEFMINCECHEMICALFREEFROZEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,28.0,45.0,39.0,37.0,64.0,10.0,4.0,0.0,0.0,0.0,4.0,24.0,1.0,13149.0
BENCHPRESSOATSWITHAPPLEANDCINNAMONWITHWHEYPROTEIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.0,6.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,190.0,293.0,103.0,12820.959594
UNSWEETENEDALMONDMILK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,67.0,30.0,10.0,1.0,0.0,0.0,2.0,105.0,102.0,24.0,12476.95
CHIASEEDSORGANIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,66.0,62.0,7.0,11843.056
BEEFMINCENOFATCHEMICALFREEFROZEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,58.0,42.0,11765.130653
PUREOATSGLUTENFREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,158.0,61.0,9.0,11657.114
MUESLIWITHQUINOAAMARANTHAPPLESEEDSANDNUTSGLUTENFREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,3.0,3.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,89.0,42.0,11508.184745
RAWPECAN250G,2.0,7.0,2.0,8.0,2.0,4.0,9.0,7.0,11.0,6.0,6.0,6.0,0.0,5.0,1.0,11.0,5.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,5.0,16.0,8.0,8.0,10.0,1.0,0.0,0.0,0.0,5.0,9.0,6.0,10798.77
MUESLIWITHMIXEDBERRIESOATFLAKESANDSEEDSORGANIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.0,107.0,38.0,10616.074745
QUINOAWHITEORGANIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,80.0,26.0,25.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10419.41
BEEFESCALOPECHEMICALFREEFROZEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,8.0,13.0,2.0,19.0,34.0,7.0,17.0,0.0,0.0,0.0,42.0,27.0,7.0,10398.8
WHOLECHICKEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,76.0,28.0,10369.5
GRANOLAWITHFRUITSANDSEEDSGLUTENFREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,6.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,210.0,6.0,0.0,10289.944
SALMONSTEAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,25.0,6.0,0.0,0.0,8.0,49.0,26.0,22.0,9804.2
AVOCADOESIMPORTED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,25.0,48.0,54.0,56.0,73.0,46.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9742.3
SKINNYOATSWITHBERRIESANDGREENTEAEXTRACTFORWEIGHTLOSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,21.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,88.0,251.0,113.0,9667.425863
ALMONDMILKORGANIC946ML,0.0,0.0,0.0,0.0,3.0,40.0,20.0,40.0,41.0,46.0,9.0,0.0,0.0,57.0,30.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9520.84
BEEFCUTLETS1KG,2.0,2.0,2.0,4.0,8.0,12.0,8.0,7.0,2.0,7.0,8.0,4.0,1.0,5.0,3.0,2.0,8.0,8.0,5.0,17.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9451.62
KALEDEFAULT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,64.0,52.0,50.0,89.0,42.0,53.0,45.0,59.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9203.0
BALADYEGGSCHEMICALFREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,34.0,42.0,39.0,36.0,23.0,10.0,5.0,17.0,6.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,9095.8
BROWNRICEPENNEAMERICANGLUTENFREEORGANIC340G,0.0,0.0,0.0,0.0,0.0,10.0,6.0,7.0,6.0,7.0,6.0,1.0,0.0,12.0,8.0,4.0,5.0,5.0,4.0,2.0,4.0,11.0,6.0,0.0,0.0,19.0,29.0,11.0,12.0,4.0,0.0,0.0,0.0,10.0,0.0,3.0,8981.149999999998
BALADYWHOLECHICKENCHEMICALFREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,23.0,11.0,0.0,0.0,0.0,120.0,0.0,0.0,8894.799999999997
GOJIBERRIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,7.0,10.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,66.0,7.0,8851.171959000003
TOPSIDESTEAKCHEMICALFREEFROZEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,10.0,7.0,12.0,12.0,19.0,2.0,0.0,0.0,0.0,47.0,19.0,11.0,8202.0
MUESLIWITHBRANBERRYANDSTRAWBERRIESORGANIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,3.0,1.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,109.0,43.0,7615.186414
