Product,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Revenue
CHICKENBREAST,45.8,45.8,45.321739130434786,46.50666666666667,15.786666666666669,47.36,47.36,47.36000000000001,47.36,47.36,47.36,47.36,47.36000000000001,49.95,47.36,47.36,47.36,47.36000000000001,47.36,47.36,47.45955555555555,48.0,52.869565217391305,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,57.648169402985076,63.892857142857146,82596.53735
QUINOAWHITEORGANIC454G,51.9,51.9,51.9,51.9,51.9,51.89999999999999,51.900000000000006,51.9,51.900000000000006,51.9,57.567619047619054,57.567619047619054,57.567619047619054,57.567619047619054,57.75,57.75,57.75,82.0,82.0,82.56756756756756,79.55555555555556,82.57894736842105,82.0,81.27272727272727,82.0,80.22063492063492,81.20833333333333,83.43857142857142,87.98965517241379,92.0,92.0,92.0,92.0,92.0,93.94444444444444,95.0,64389.46
WHOLECHICKEN,29.081599999999995,34.08,33.73166666666666,29.9,11.959999999999999,29.9,29.900000000000002,29.9,29.9,29.9,29.9,29.900000000000002,29.900000000000002,29.9,29.9,29.9,29.9,29.9,29.900000000000002,29.9,29.900000000000002,29.514285714285712,29.53846153846154,36.0,36.0,36.0,36.0,37.15384615384615,42.0,42.0,42.0,42.0,42.0,42.0,39.17763157894737,45.0,54238.82
COCONUTOILORGANICFORCOOKING,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,219.11764705882354,228.36363636363637,236.0,236.0,98.66666666666667,98.66666666666667,98.66666666666667,3305.3333333333335,142.24444444444444,147.03367700000004,37240.905155
BEEFFILLET1KG,260.09,260.09,198.89999,211.8142842857143,216.97999999999996,216.98000000000002,216.98,216.98000000000002,216.98000000000005,216.98000000000002,216.98,216.98000000000005,216.98,213.6812731677771,216.98,216.98000000000002,216.98000000000005,216.98000000000005,216.98,216.98,216.98,227.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,30179.797789999997
AVOCADOSIMPORTED,41.28,41.28,41.28,41.28,4.586666666666667,38.5,38.5,38.5,38.5,35.379444444444445,33.54,42.08875,43.31,43.31,43.309999999999995,43.31,42.639459125,43.31,44.034285714285716,45.0,45.0,28.77777777777778,29.0,29.0,29.0,27.505555555555556,27.0,28.972602739726028,29.91304347826087,30.0,30.0,30.0,30.0,30.0,31.93548387096774,32.0,27104.105673000002
BEEFFILLETWHOLE,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,165.99900000000002,165.99900000000002,23672.1758
DRIEDCRANBERRY200G,53.93,53.93,53.93,53.93,53.93,53.93,53.93,55.5,55.5,55.5,59.54,60.55,60.55,74.72510344827586,42.44210526315789,60.0,60.0,60.0,60.0,60.0,36.0,42.5,60.166666666666664,52.5,52.5,52.5,220.16666666666666,52.77777777777778,151.52631578947367,53.0,53.0,53.0,53.0,53.0,51.23333333333333,53.0,19416.837
INSIDECAIRODELIVERYFEE,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.991228070175438,10.0,10.0,9.982555098591552,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,18937.761412
SALMONSTEAK,24.93,24.93,24.93,24.93,24.93,24.93,24.93,24.93,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,55.333333333333336,59.21739130434783,62.0,59.933333333333344,61.55714285714286,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,59.853846153846156,62.0,16650.84
BEEFFILLETCHEMICALFREEFROZEN,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,81.76,63.0,63.0,63.0,63.0,68.25,72.0,89.4,89.4,89.4,89.4,90.1,93.38823529411764,97.2120603,16337.361809
VEALESCALOPEBIFTEK1KG,102.0,102.0,101.97999999999999,101.9,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,16182.9
HUROMSLOWJUICER,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,3125.0,3125.0,3125.0,3125.0,3125.0,3125.0,14800.0
BEEFMINCE1KG,71.40000000000002,71.4,71.4,71.4,71.39999999999999,71.4,71.39999999999999,71.4,71.39999999999999,71.4,71.4,71.4,71.40000000000002,70.10181818181819,71.4,71.39999999999999,71.4,71.4,71.4,71.4,71.4,75.17142857142858,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,13906.12
