Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015
Quinoa ( white ) - organic / 454g,106900,,"Eden Foods, Inc.",HV,Grains,,51.9,51.9,51.9,51.9,51.9,51.9,51.90000000000001,51.9,51.90000000000001,51.9,57.56761904761907,57.56761904761907,57.56761904761907,57.56761904761907,57.75,57.75,57.75,82.0,82.0,82.56756756756756,79.55555555555556,82.57894736842105,82.0,81.27272727272727,82.0,80.22063492063492,81.20833333333333,83.43857142857142,87.98965517241379,92.0,92.0,92.0,92.0,92.0,92.0,92.0
Chicken Breasts / 1kg,ChickenBreasts,,NGS,Butcher,Fresh poultry,,47.36,47.36,47.36,47.36,47.36,47.36,47.36,47.36000000000001,47.36,47.36,47.36,47.36,47.36000000000001,47.36,47.36,47.36,47.36,47.36000000000001,47.36,47.36,47.459555555555546,48.0,52.8695652173913,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
Whole Chicken / 1kg,WholeChicken,,NGS,Butcher,Fresh poultry,,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.514285714285712,29.538461538461537,36.0,36.0,36.0,36.0,37.153846153846146,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
Beef Fillet / 1kg,BeefFillet,,NGS,Butcher,Fresh beef,,216.98,216.98,216.98,216.98,216.98,216.98,216.98,216.98,216.98,216.98,216.98,216.98,216.98,213.6812731677771,216.98,216.98,216.98,216.98,216.98,216.98,216.98,227.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0
Beef fillet (whole),151017,,,El rancho,Beef,Wholesale,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,165.99900000000005,165.99900000000005
Coconut oil (organic) - for cooking,Coconutoilorganic-forcooking,,Divine coconut,Divine coconut,Oil,,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,219.11764705882354,228.3636363636364,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0
Inside Cairo delivery fee,InsideCairodeliveryfee,,Freight,Freight,Delivery,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.991228070175438,10.0,10.0,9.98255509859155,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Dried cranberry / 200g,DriedCranberry,,NGS,Auf,Dried fruits,,53.93,53.93,53.93,53.93,53.93,53.93,53.93,55.5,55.5,55.5,59.54,60.55,60.55,74.72510344827586,42.44210526315789,60.0,60.0,60.0,60.0,60.0,36.0,42.5,60.16666666666666,52.5,52.5,52.5,220.16666666666663,52.77777777777778,151.5263157894737,151.5263157894737,151.5263157894737,151.5263157894737,151.5263157894737,151.5263157894737,151.5263157894737,151.5263157894737
Chicken breast,80001,,,Butcher,Poultry,Frozen,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,57.648169402985076,63.89285714285714
Coconut oil (organic) - for cooking,101001,,,Divine coconut,Oil,"Super food, Weight loss, Oil",148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,142.24444444444444,147.033677
Veal Escalope (Biftek) / 1kg,VealEscalope,,NGS,Butcher,Fresh veal,,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0
Avocado,Avocado,,Kheir Misr,Rafic,Fresh fruits,,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,35.379444444444445,33.54,42.08875,43.31,43.31,43.31,43.31,42.639459125,43.31,44.034285714285716,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
Beef Mince / 1kg,BeefMince,,NGS,Butcher,Fresh beef,,71.39999999999998,71.39999999999998,71.39999999999998,71.39999999999998,71.39999999999998,71.4,71.39999999999998,71.4,71.39999999999998,71.4,71.4,71.4,71.4,70.10181818181819,71.4,71.39999999999998,71.4,71.4,71.4,71.4,71.4,75.17142857142858,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0
Beef mince - no fat (chemical free) - frozen,151006,,,El rancho,Beef,"Frozen, Chemical free, Beef",58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,60.196551724137926,61.66025364285714
Bench press oats with apple and cinnamon ( with whey protein ),221001,,,Good life,Cereal,High performance,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,21.16378947368421,19.95030716723549,17.110675669902914
Osool begawi chicken ( frozen ),Chemicalfreechicken,,NGS,Nawaya,Chemical free poultry ,,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
Chia seeds (organic),221002,,,Good life,Seeds,"Super food, Weight loss, Organic",84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,84.36290909090908,76.82425806451613,98.0
