Product,CAGR,Period,CMGR
7 grain milk / 946ml,,34,11.975937427960858
Acai berry juice,,20,12.165539901609513
Acne facial soap,,15,4.729412282062673
Acqua pana water 1000ml,,18,0.0
Acqua pana water 500ml,,18,0.0
Acqua pana water 500ml glass,,18,0.0
Actibif cheese (for better digestion),,2,100.0
Agar Agar flakes (hand harvested) - wild,,5,31.95079107728942
Agave syrup ( organic ) / 473ml,,33,6.884920777554604
All Purpose Baking Flour (gluten free),,3,71.15468946862367
All purpose baking flour ( Gluten free ),,10,17.461894308801895
All purpose baking flour ( gluten free ) / 623g,,34,14.503655951156901
All purpose baking flour (gluten free),,5,69.25806906325509
Almond biscuits (Gluten Free - traces of gluten),,6,6.991319393366302
Almond bread (gluten free),,1,0.0
Almond butter,,3,203.99222225999222
Almond butter (home-made),,16,30.75481144203993
Almond butter (natural),,2,87.08286933869707
Almond meal flour,,5,69.8778169697358
Almond milk ( Original ),,14,11.690950867934035
Almond milk ( organic ),,18,3.0339120488339644
Almond milk ( organic ) / 946ml,,34,14.451150111546006
Almond milk ( organic ) 946ml,,5,0.0
Almond milk (unsweetened),,10,0.0
Almond milk with dark chocolate,,18,0.0
Almond milk with vanilla,,18,8.00597388923061
Almond original (original),,11,20.80894444044472
Almond's and Oats Body Scrub,,12,0.0
Almonds Shell On - Roasted & Salted / 250g,,38,7.208413713972028
Alphabet Pasta ( gluten free ) - Italian,,21,3.355778300702772
Amaranth,,5,28.289455478124136
American Green Apple / 500g,,38,6.246783089404118
American Red Apple / 500g,,38,7.902991936431958
American green apples,,33,7.175413395351371
American red apples,,33,11.41094277326562
American yellow apples,,33,7.885373787291727
Animal shaped biscuits ( Gluten free ),,12,20.476118664169583
Annas Almond Thins,,19,5.952606473827515
Annas Cappuccino Thins,,20,3.5264923841377582
Anti-Cellulite body scrub (with coffee&vanilla),,9,0.0
Anti-Frizz Hair Serum,,12,5.946309435929531
Antiseptic cream with tea tree oil / 118ml,,33,3.38516372166493
Apple and mango juice ( organic ),,18,0.0
Apple cider vinegar ( organic ),,6,129.7051263914333
Apple cider vinegar ( organic ) / 473g,,34,17.288132810509605
Apple cinnamon brown rice cakes / 269g,,33,5.910353874575502
Apple cinnamon no fat granola / 340g,,21,1.379340956220254
Apples (sukary),,33,10.294535325802844
Appricot,,15,24.58782035537417
Apricot jam (natural),,1,0.0
Argan oil hair conditioner,,16,5.893974898014798
Artichoke,,31,3.875318037350506
Arugula ( Chemical free ),,13,4.321913715359704
Arugula ( aquaponic ),,18,4.477670868667016
Arugula(chemical free),,12,23.782569780805286
Ashwagandha root,,33,6.074020838233807
Asparagus (chemical free),,11,4.440661018517389
Aubergene (Roumy) - Chemical free,,15,22.976463888458998
Aubergene (Roumy) - organic,,6,115.15524881005695
Aubergene (roumy),,17,10.665196732212978
Aubergine (roumy),,34,12.950281140529164
Aubergine arous black,,17,1.9989654407636115
Aubergine arous white,,17,4.5192361422907945
Australian beef fillet,,33,0.0
Australian beef rib eye,,29,0.0
Australian beef steak,,29,1.4079754523293353
Avocado,,38,10.238448954571378
Avocadoes ( imported ),,17,23.78509016541408
Avocados (imported),,5,21.793610050779577
Baby Carrot,,3,35.72088082974534
Baby Spinach(chemical free),,12,21.699863556117837
Baby black Aubergine (Round),,17,23.26152371478807
Baby black Aubergine (chemical free) - round,,4,18.920711500272102
Baby black aubergene,,14,6.763864722461066
Baby black aubergene (chemical free),,4,5.737126344056409
Baby carrots (chemical free),,13,4.625210925999235
Baby cherry carrots,,18,0.0
Baby corn,,16,7.343908391470233
Baby french beans,,33,4.152543323159974
Baby french spinach,,34,10.092016691503481
Baby kale,,33,4.6915819592573405
Baby leaf lettuce ( aquaponic ),,18,8.00597388923061
Baby onions,,17,12.915715539239581
Baby potatoes,,5,0.0
Baby potatoes ( Chemical free ),,13,3.591422979912995
Baby potatoes / Default,,17,12.84339740612641
Baby radish,,33,3.38516372166493
Baby red onions ( Chemical free ),,13,9.418028086145736
Baby spinach,,18,22.399700298282088
Baby spinach ( aquaponic ),,18,8.00597388923061
Baby spinach (chemical free),,6,149.15700387701136
Baby striped aubegene,,15,0.0
Baby sweet corn,,32,3.492776707986467
Baby yellow carrots,,34,5.835158338910662
Baby yellow zucchini,,17,1.9989654407636115
Baby yellow zucchini (chemical free),,5,17.08049129648923
Baguette,,25,0.0
Bagutte Brown,,25,0.0
Baking soda (pure),,12,1.2928752866029347
Baking soda / 453g,,34,12.266704528031758
Baking soda 453g,,5,30.505725945274342
Balady Whole Chicken(chemical free),,12,29.853034162786194
Balady Whole Chicken(chemical free) - frozen / Default,,6,50.81967933722429
Balady Whole Chicken(chemical free) / Default,,5,32.27353415162304
Balady bread (whole grain),,16,16.93351065975297
Balady eggs ( chemical free ),,20,30.253326584545338
Balady eggs (chemical free),,12,33.75244960974222
Balady eggs (organic),,6,132.45487335032044
