Type,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Cereal,0.000000,0.000000,0.000000,0.000000,0.000000,227.680000,1892.420000,1667.530000,1452.730000,411.180000,1009.590000,640.870000,645.950000,149.000000,748.750000,761.250000,966.000000,571.050000,958.500000,924.500000,125.600000,284.350000,4292.400000,2954.000000,3680.000000,2366.200000,2620.400000,1711.200000,1285.800000,815.200000,0.000000,0.000000,0.000000,1038.000000,34485.496000,31960.908000,10054.732598,5917.480000,116618.766598,82058.570000,34560.196598,0.296352,0.000000
Fresh vegetables,0.000000,0.000000,0.000000,0.000000,0.000000,829.020000,4456.340000,4593.130000,5666.810000,4296.950000,5022.680000,4133.630000,2175.560000,1910.720000,3918.030000,2841.130000,3216.800000,2194.152915,2495.730000,2506.180000,2319.720000,3861.060000,7232.360000,6455.000000,5214.520000,7145.000000,8735.000000,7374.750000,6298.050000,4575.100000,1439.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110906.972915,85933.030000,24973.942915,0.225179,0.000000
Grains,0.000000,0.000000,0.000000,0.000000,0.000000,222.700000,1781.200000,1842.600000,1545.600000,1284.600000,1462.300000,275.300000,320.300000,36.500000,4578.950000,3457.950000,5293.750000,1145.950000,2636.250000,404.000000,3454.750000,2964.000000,4807.000000,2113.500000,3030.750000,9196.850000,12344.800000,8865.750000,9929.990000,8364.960000,1541.000000,0.000000,0.000000,348.000000,4749.000000,2801.867393,1744.000000,4100.494896,106644.662289,88194.330000,18450.332289,0.173008,0.000000
Fresh poultry,0.000000,0.000000,0.000000,0.000000,0.000000,575.740000,2735.660000,4277.740000,4048.300000,3308.520000,4786.520000,3495.300000,2501.500000,2130.980000,4913.300000,2783.500000,3583.380000,3847.480000,3516.180000,3498.220000,2980.360000,3689.980000,3091.000000,6197.500000,4492.250000,6268.750000,6937.250000,7233.000000,7387.000000,5875.500000,2308.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,106463.660000,81744.300000,24719.360000,0.232186,0.000000
Fresh Beef & Poultry,19959.490000,3856.360000,7649.840000,7957.310020,10420.309990,1413.580000,3484.640000,2071.350000,2311.010000,1438.200000,1918.790000,2622.590000,3223.120000,740.560000,2185.620000,1794.290000,1313.200000,1826.600000,1664.980000,953.090000,1800.090000,1616.970000,1620.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,83842.480010,64461.005890,19381.474120,0.231165,0.000000
Fresh fruits,0.000000,0.000000,0.000000,0.000000,0.000000,549.380000,2183.290000,2177.430000,3605.570000,2376.370000,3196.290000,3297.120000,1026.120000,1262.640000,2809.250000,1580.040000,3348.310000,2216.015673,1681.980000,1372.990000,2295.870000,2780.450000,3769.270000,6234.410000,3756.500000,3987.250000,5716.800000,4807.750000,4956.050000,3615.790000,1054.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,75657.095673,57259.560000,18397.535673,0.243170,0.000000
Beef,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,352.800000,40024.590000,17214.585800,8976.648883,8521.310680,75089.935362,56908.965000,18180.970362,0.242123,0.000000
Oil,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,253.700000,263.700000,253.700000,434.500000,87.900000,253.700000,87.900000,0.000000,82.900000,90.000000,265.000000,180.000000,175.000000,265.000000,265.000000,396.500000,358.000000,364.000000,157.000000,2346.000000,4745.000000,5392.000000,7794.100000,9021.400000,1223.000000,0.000000,0.000000,1480.000000,14893.000000,5607.800000,2834.505155,6705.800000,66276.105155,50227.650000,16048.455155,0.242145,0.000000
Dried fruits,0.000000,0.000000,0.000000,0.000000,0.000000,210.690000,946.660000,1620.930000,652.000000,1210.500000,789.550000,1565.540000,751.820000,223.970000,1398.434500,1253.690000,1349.770000,1125.480000,551.000000,691.000000,1515.000000,1284.000000,1482.000000,1837.500000,1241.000000,1812.000000,2986.600000,8619.000000,2270.200000,4563.280000,464.020000,0.000000,0.000000,315.000000,10660.492000,7158.128000,1832.981959,3015.420000,65397.656459,41826.227500,23571.428959,0.360432,0.000000
Poultry,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,619.500000,28798.300000,11317.237350,7365.350000,10215.445289,58315.832639,45338.600000,12977.232639,0.222534,0.000000
